ticker,full_name,rule1_score,management_score,moat_score,buy_price,last_price,last_gr,long_gr,guru
UPST,Upstart Holdings Inc,25,0,50,$12,N/A,207,0,Infinity years
UPST,Upstart Holdings Inc,25,0,50,$12,N/A,207,0,Infinity years
SSNC,SS&C Technologies Holdings Inc,44,20,68,$281,N/A,28,5,5 years
SSNC,SS&C Technologies Holdings Inc,44,20,68,$281,N/A,28,5,5 years
EBAY,eBay Inc,48,75,20,$7242,N/A,60,10,4 years
EBAY,eBay Inc,48,75,20,$7242,N/A,60,10,4 years
ROKU,Roku Inc,54,40,67,$20,N/A,174,25,Infinity years
ROKU,Roku Inc,54,40,67,$20,N/A,174,25,Infinity years
AMED,Amedisys Inc,56,68,45,$684,N/A,38,4,Infinity years
AMED,Amedisys Inc,56,68,45,$684,N/A,38,4,Infinity years
ORLY,O'Reilly Automotive Inc,68,60,75,$526,N/A,63,17,N/A
ORLY,O'Reilly Automotive Inc,68,60,75,$526,N/A,63,17,N/A
PATK,Patrick Industries Inc,59,43,75,$161,N/A,26,10,6 years
PATK,Patrick Industries Inc,59,43,75,$161,N/A,26,10,6 years
INSM,Insmed Inc,13,0,25,$0,N/A,37,12,Infinity years
INSM,Insmed Inc,13,0,25,$0,N/A,37,12,Infinity years
CHRD,Chord Energy Corp,72,60,85,$726,N/A,25,0,2 years
CHRD,Chord Energy Corp,72,60,85,$726,N/A,25,0,2 years
AEP,American Electric Power Co Inc,28,15,41,$25,N/A,8,3,Infinity years
AEP,American Electric Power Co Inc,28,15,41,$25,N/A,8,3,Infinity years
LITE,Lumentum Holdings Inc,13,0,25,$15,N/A,17,0,Infinity years
LITE,Lumentum Holdings Inc,13,0,25,$15,N/A,17,0,Infinity years
CHRW,C.H. Robinson Worldwide Inc,54,78,30,$3441,N/A,66,5,4 years
CHRW,C.H. Robinson Worldwide Inc,54,78,30,$3441,N/A,66,5,4 years
KRYS,Krystal Biotech Inc,30,40,20,$946240,N/A,140,0,Infinity years
KRYS,Krystal Biotech Inc,30,40,20,$946240,N/A,140,0,Infinity years
VSEC,VSE Corp,34,5,63,$11,N/A,14,2,Infinity years
VSEC,VSE Corp,34,5,63,$11,N/A,14,2,Infinity years
SEZL,Sezzle Inc,43,47,40,$93,N/A,20,0,Infinity years
SEZL,Sezzle Inc,43,47,40,$93,N/A,20,0,Infinity years
STX,Seagate Technology Holdings PLC,33,53,13,$65,N/A,7,0,N/A
STX,Seagate Technology Holdings PLC,33,53,13,$65,N/A,7,0,N/A
COOP,Mr. Cooper Group Inc,49,35,63,$2447401,N/A,160,141,1 years
COOP,Mr. Cooper Group Inc,49,35,63,$2447401,N/A,160,141,1 years
PI,Impinj Inc,29,23,35,$16,N/A,271,10,N/A
PI,Impinj Inc,29,23,35,$16,N/A,271,10,N/A
HWKN,Hawkins Inc,84,78,90,$144,N/A,23,12,11 years
HWKN,Hawkins Inc,84,78,90,$144,N/A,23,12,11 years
FRHC,Freedom Holding Corp,62,40,83,$1058955417355,N/A,858,77,2 years
FRHC,Freedom Holding Corp,62,40,83,$1058955417355,N/A,858,77,2 years
NXST,Nexstar Media Group Inc,60,40,80,$248990,N/A,103,22,1 years
NXST,Nexstar Media Group Inc,60,40,80,$248990,N/A,103,22,1 years
PTC,PTC Inc,60,40,80,$2718,N/A,50,12,5 years
PTC,PTC Inc,60,40,80,$2718,N/A,50,12,5 years
CTAS,Cintas Corp,92,90,93,$59,N/A,12,7,16 years
CTAS,Cintas Corp,92,90,93,$59,N/A,12,7,16 years
LECO,Lincoln Electric Holdings Inc,75,90,60,$124,N/A,10,8,12 years
LECO,Lincoln Electric Holdings Inc,75,90,60,$124,N/A,10,8,12 years
MDB,MongoDB Inc,57,55,58,$21,N/A,9374,29,Infinity years
MDB,MongoDB Inc,57,55,58,$21,N/A,9374,29,Infinity years
DASH,DoorDash Inc,45,40,50,$149,N/A,53,0,9 years
DASH,DoorDash Inc,45,40,50,$149,N/A,53,0,9 years
IDCC,InterDigital Inc,81,93,70,$471,N/A,20,23,5 years
IDCC,InterDigital Inc,81,93,70,$471,N/A,20,23,5 years
APPF,AppFolio Inc,83,80,85,$123,N/A,135,24,N/A
APPF,AppFolio Inc,83,80,85,$123,N/A,135,24,N/A
CME,CME Group Inc,66,68,65,$136,N/A,9,3,13 years
CME,CME Group Inc,66,68,65,$136,N/A,9,3,13 years
ONC,BeOne Medicines Ltd,58,40,75,$0,N/A,283,34,Infinity years
ONC,BeOne Medicines Ltd,58,40,75,$0,N/A,283,34,Infinity years
FFIV,F5 Inc,65,95,35,$172,N/A,5,5,12 years
FFIV,F5 Inc,65,95,35,$172,N/A,5,5,12 years
CEG,Constellation Energy Corp,38,35,42,$4716,N/A,47,0,2 years
CEG,Constellation Energy Corp,38,35,42,$4716,N/A,47,0,2 years
ZBRA,Zebra Technologies Corp,65,70,60,$13767906167,N/A,444,2,1 years
ZBRA,Zebra Technologies Corp,65,70,60,$13767906167,N/A,444,2,1 years
ALNY,Alnylam Pharmaceuticals Inc,34,18,50,$0,N/A,6,59,Infinity years
ALNY,Alnylam Pharmaceuticals Inc,34,18,50,$0,N/A,6,59,Infinity years
